,자치구,행정동,점수,순위
264,영등포구,양평2동,-0.9590361283330412,265
265,서대문구,북아현동,-0.9655337575057958,266
266,양천구,신정6동,-0.9659201487464436,267
267,노원구,중계본동,-0.9944682519482623,268
268,마포구,용강동,-1.0161280771379246,269
269,영등포구,영등포동,-1.022811925472555,270
270,노원구,중계1동,-1.0883983354843265,271
271,양천구,신월6동,-1.1144777614012729,272
272,구로구,항동,-1.1424115138912028,273
273,양천구,신정2동,-1.1801652564814582,274
274,서대문구,남가좌1동,-1.1817344147487527,275
275,마포구,대흥동,-1.2236214208198755,276
276,마포구,서강동,-1.2368827432269018,277
277,마포구,아현동,-1.2585983046069973,278
278,마포구,염리동,-1.2816742872960971,279
